id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1294088570710234373,Luxurious Penthouse Stay with Views & Pool Access,663116913,Chregan,,Ward 115,-33.9121996,18.4146795,Entire home/apt,7829,4,0,,,1,320,0,
1294147676007088944,Luxury Century City Apartment | Lagoon Views,663131140,Chregan,,Ward 55,-33.8949692,18.5048072,Entire home/apt,1947,2,2,2024-12-15,2,1,323,2,
1294156776582825556,The Secret Room.,166300684,Raine,,Ward 84,-34.0899886,18.8704159,Entire home/apt,589,1,4,2024-12-15,4,1,146,4,
1294163151813500103,Private oasis in Bloubergstrand,542573757,Gareth,,Ward 23,-33.802886576456864,18.462431397900406,Entire home/apt,2572,2,1,2024-12-11,1,2,353,1,
1294177482931679870,Best Atlantic Seaboard Jewel!,663139445,Bianca,,Ward 115,-33.91005,18.40676,Entire home/apt,9600,10,0,,,1,365,0,
1294178018342495138,Calm Oasis in Tamboerskloof,25231533,Michael Francois,,Ward 77,-33.92722711046631,18.40909813795123,Entire home/apt,2537,14,0,,,1,350,0,
1294188484517764250,Fresnaye location at its best.,48122007,Elana,,Ward 54,-33.9229211,18.3903659,Entire home/apt,14000,14,0,,,1,238,0,
1294221103865068121,Sunset Beach flat on beachfront,375988773,Gherda,,Ward 4,-33.853829369887436,18.490327524503293,Entire home/apt,1900,1,0,,,2,196,0,
1294301057325873403,Experience Cape Town in style!,571403244,James,,Ward 115,-33.93271367129246,18.418849898537065,Entire home/apt,1889,4,2,2024-12-22,2,11,150,2,
1294306754729086126,Fajomi Guesthouse,662763050,Marie,,Ward 10,-33.9035139,18.5927967,Private room,,1,1,2024-11-30,1,3,361,1,
1294322625183430701,Elegant Apartment with Parking,61768961,Burger,,Ward 115,-33.90958177637877,18.4140747569886,Entire home/apt,3029,2,2,2024-12-08,2,38,102,2,
1294343207255164519,Comfort Room Ensuite - Bellville,430944166,Lodge,,Ward 10,-33.89963929017122,18.642424211803206,Private room,5928,365,0,,,9,348,0,
1294436095188244113,Double Room Shared Bath - Bellvi,430944166,Lodge,,Ward 10,-33.901326477444044,18.640468492870646,Private room,564,999,0,,,9,365,0,
1294442634685239436,Zendō Studio - Minimalist oasis in vibey Seapoint,345066309,Mish,,Ward 54,-33.9101285,18.3941886,Entire home/apt,1664,1,1,2024-12-07,1,3,245,1,
1294482538088706386,Quayside Premier Penthouse,216536076,Mthabisi,,Ward 55,-33.8870632,18.5126028,Entire home/apt,10000,1,0,,,12,328,0,
1294507165292726442,Belina - Waters Edge Premier,216536076,Mthabisi,,Ward 55,-33.889903,18.5110059,Entire home/apt,12000,1,0,,,12,323,0,
1294578028373087908,Art Deco gem near Table Mountain,220212846,Matthew,,Ward 115,-33.92525983854354,18.422891205675633,Entire home/apt,1600,2,0,,,1,358,0,
1294614129388367337,Luxurious Oasis on Glen Beach,15524997,Nele,,Ward 54,-33.946570393110164,18.37806412275392,Entire home/apt,35000,5,0,,,1,282,0,
1294641436413415075,Clifton Views - Cape Luxury Stay,25679101,Kyle,,Ward 54,-33.9313778980971,18.377316901382436,Entire home/apt,,7,0,,,29,0,0,
1294657525169850430,Luxurious Hotel-Living Cape Town,24414720,Wiehahn,,Ward 115,-33.919397963396364,18.42119516483358,Entire home/apt,1917,7,0,,,2,322,0,
1294670296191637147,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92208657433408,18.423623123491332,Private room,2000,1,0,,,163,365,0,
1294675851311304412,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92306336346853,18.421713798428705,Private room,2000,1,0,,,163,365,0,
1294678941657160735,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92330410979911,18.423697297632877,Private room,2000,1,0,,,163,365,0,
1294690744650807979,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.922986160379125,18.42381160527631,Private room,2000,1,0,,,163,365,0,
1294695402726419241,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92272904041466,18.423985702606235,Private room,2000,1,0,,,163,365,0,
1294697916389826306,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92322394387504,18.422086091638533,Private room,2000,1,0,,,163,365,0,
1294701306605380105,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.922881455695894,18.42371992423451,Private room,2000,1,0,,,163,365,0,
1294706682448314150,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.9216499233308,18.422550540171308,Private room,2000,1,0,,,163,365,0,
1294708188643502597,Clarendon Bright Apartment,97143280,Patience,,Ward 57,-33.9488182,18.4799041,Entire home/apt,1377,1,3,2024-12-27,3,1,360,3,
1294711352373476217,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92345568068183,18.421721543112128,Private room,2000,1,0,,,163,365,0,
1294712315406685872,Lovely Kloof Street 2 Bed,231041517,Christiaan,,Ward 115,-33.9309178,18.4096628,Entire home/apt,1604,2,1,2024-12-26,1,1,16,1,
1294713958077271561,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92351554802852,18.422129817969644,Private room,2000,1,0,,,163,365,0,
1294715909187215542,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.9233123383102,18.422067871570103,Private room,2000,1,0,,,163,365,0,
1294718290943312336,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92156799816352,18.423892605001846,Private room,2000,1,0,,,163,365,0,
1294738703844902949,Sea Point Bliss | Access to Beach & Saunders Pool,663269898,Chregan,,Ward 54,-33.9226591,18.3791655,Entire home/apt,6765,2,0,,,1,237,0,
1294740168270484684,Wildlife & Ocean Retreat,21496384,Martina,,Ward 61,-34.201287690453356,18.382110914659794,Entire home/apt,6900,4,3,2024-12-07,3,3,267,3,
1294747257662705129,Cape Town Gem,555615432,Mitchell,,Ward 62,-34.0072021,18.4626957,Entire home/apt,1950,2,0,,,1,349,0,
1294747896221155498,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92185,18.42202,Private room,2000,1,0,,,163,365,0,
1294749199888183429,Victorian House in Vredehoek,47301027,Andreas,,Ward 77,-33.93460688492997,18.42088167263622,Entire home/apt,10000,364,0,,,1,361,0,
1294750184165917211,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92360424334746,18.42216894030993,Private room,2000,1,0,,,163,365,0,
1294752442121195439,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92290071038501,18.42395801570716,Private room,2000,1,0,,,163,365,0,
1294756657122217110,Stunning Seaside Retreat | Mountain + Ocean Views,663272812,Chregan,,Ward 55,-33.8933481588113,18.482194506255837,Entire home/apt,4345,2,0,,,1,358,0,
1294757334454177024,The Nook @ Leehaven,45540167,Jeannine,,Ward 74,-34.0462883,18.3473762,Private room,920,2,0,,,2,347,0,
1294764110713173551,Modern Claremont apartment,663274079,Safiya,,Ward 58,-33.978071070361224,18.484070471116333,Entire home/apt,1209,7,0,,,1,26,0,
1294767723562037383,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.92203874337195,18.42173437357537,Private room,2000,1,0,,,163,365,0,
1294770329643204112,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.922670821917315,18.42204130089513,Private room,2000,1,0,,,163,365,0,
1294771646220681533,Groovy Giraffe,659985038,Belinda,,Ward 115,-33.921484373637554,18.42375255706741,Private room,2000,1,0,,,163,365,0,
1294773777664953417,"Stylish, Spacious Studio! Scenic Balcony Views!",162567263,Ridhwaan,,Ward 54,-33.9625745,18.3816525,Entire home/apt,1649,1,1,2024-12-13,1,17,355,1,
1294830032654741952,Peaceful Retreat | Green Point| Off-Grid,613674,James,,Ward 115,-33.91034449228536,18.405587625772334,Entire home/apt,6936,4,1,2024-12-19,1,3,318,1,
1294840481502727718,Three Anchor Bay Gem | Stunning Spacious Studio,663289478,Chregan,,Ward 115,-33.908250985180764,18.400996468946314,Entire home/apt,2006,2,0,,,1,355,0,
1294849836534527066,Trendy Apt w/Balcony & Table Mountain Views,590362742,Nevada,,Ward 77,-33.93471321733093,18.421969314294447,Entire home/apt,1500,3,0,,,5,145,0,
1294850911255030897,"Affordable Accommodation , parow",654861416,Siyabonga,,Ward 2,-33.90422029279834,18.58613996409337,Private room,,1,0,,,2,365,0,
1294852463367398126,Cape Town Deluxe City Apartment Hafen Views,57218252,Nox,,Ward 115,-33.9165154,18.4206058,Entire home/apt,8977,4,0,,,175,354,0,
1294869787402701330,Stylish family home,48691966,Storm,,Ward 58,-33.98131961412222,18.479828529341233,Entire home/apt,2400,4,0,,,1,28,0,
1294886802281390521,New York style loft by the Sea,663301293,Robin Henry,,Ward 107,-33.81631472501464,18.493852747607416,Entire home/apt,1049,2,2,2024-11-30,1.76,1,135,2,
1294886919243946452,Luxury Apartment at The Marriott Crystal Towers,363446619,Sulaiman,,Ward 55,-33.8938117,18.507214,Entire home/apt,5000,1,0,,,1,361,0,
1294919702255907883,Luxe Home with no load shedding,260058910,Erica,,Ward 113,-33.8137117,18.5165705,Entire home/apt,1821,1,1,2024-12-18,1,1,345,1,
1294926125404339741,2 Bedroom Apartment in the Heart of Cape Town,660459957,Bernard,,Ward 115,-33.92648861041053,18.413093724712926,Entire home/apt,1493,2,1,2024-12-20,1,2,132,1,
1294938941558595202,GoodVibes Guest House,548937580,Pierfrancesco,,Ward 107,-33.817163872671834,18.483710692566884,Private room,750,1,0,,,4,362,0,
1294947869412621087,GoodVibes Guest House,548937580,Pierfrancesco,,Ward 107,-33.81669017782977,18.485333907434978,Private room,730,1,1,2024-11-29,1,4,359,1,
1294952220214395399,Tranquil Cottage near the Ocean,183769484,Saskia,,Ward 23,-33.80970635550524,18.479098327206323,Entire home/apt,1800,3,0,,,1,37,0,
1294953703598821375,GoodVibes Guest House,548937580,Pierfrancesco,,Ward 107,-33.817175068678864,18.484871402674397,Private room,700,1,0,,,4,349,0,
1294959050531843654,Cottage at GooVibes Guest House,548937580,Pierfrancesco,,Ward 107,-33.8163163386403,18.485345332576227,Entire home/apt,1000,1,2,2024-12-21,1.71,4,342,2,
1294970580207923989,Mountain View,663324875,Sandisa,,Ward 1,-33.87064068012553,18.583471052206775,Private room,950,1,1,2024-12-01,1,1,364,1,
1294971470591172159,Luxe Living - Flatrock,396899533,Chandre,,Ward 115,-33.9256876,18.4147351,Entire home/apt,2757,2,1,2024-12-22,1,1,354,1,
1294973495142358282,Newlands Forest Adventure Hub,663318430,Gary William Scott,,Ward 59,-33.969304,18.4548539,Entire home/apt,5000,14,0,,,1,32,0,
1294975572646701413,A cosy barchelor,368092157,Dikeletso,,Ward 57,-33.94031843522299,18.47346711988507,Private room,387,1,0,,,1,345,0,
1297745480064618079,Nadia’s Sleepy Stay,76553673,Nadia,,Ward 103,-33.8247394,18.6927715,Private room,550,2,1,2024-12-16,1,1,355,1,
